Культура|Название сорта|Год районирования|Разновидность|Назначение использования|Длительность периода вегетации (дни)|Длительность периода вегетации (тип)|Требуемая сумма активных температур|Морозоустойчивость и зимостойкость|Засухоустойчивость| Устойчивость к переувлажнению|Устойчивость к основным болезням|снежная плесень|мучнистая роса|пыльная головня|бурая ржавчина|септориоз|(темно-бурая пятнистость (BipolarissorokinianaShoem)|сетчатая пятнистость (PerenophorateresDrechs)|Устойчивость к полеганию| Устойчивость к кислотности почв|Требование к условиям возделывания|Урожайность при экстенсивном уровне возделывания (т/га)|Урожайность при нормальном уровне возделывания (т/га)|Урожайность при интенсивном уровне возделывания (т/га)|Урожайность при точном уровне возделывания (т/га)|Качество продукции |Содержание белка (%)|Содержание протеина в сухом веществе (%)|Содержание клейковины (%)|Содержание крахмала (%)|Экстрактивность (%)|Пленчатость (%)|Натура зерна (г/л)| Масса 1000 зерен ()|Хлебопекарная оценка |Способность прорастания (%)|Стекловидность (%)|Цвет каши (балл)|Энергия прорастания (%)|Число падения| Содержание алкалоидов в зерне|Содержание растительного масла |Содержание  сырой клетчатки 
Озимая пшеница|Московская 39|1999| эритроспермум| продовольственное| 305-308 |среднеспелая| 1400-1500|8|8|9|5,5||5|8|5||||7,5|9| толерантный|2,5|3,5|5|7||15,5||36,6|||||| Сильная пшеница||||||||
Озимая пшеница|Московская 40|2011| эритроспермум| продовольственное| 271–319 |среднеспелая| 1400–1500|8|8|9|7,5|6||||6|||8,5|9| пластичный|2,3|3,5|5,5|7||15,4||34,5||||||Сильная пшеница||||||||
Озимая пшеница|Московская 56|2008| эритроспермум| продовольственное| 294-328 |среднеспелая| 1400-1500|8,5|8|9|6||6|8|6|8|||7,5|9| пластичный|2,5|3,5|5,5|7||13,6||32,8||||||Ценная пшеница||||||||
Озимая пшеница|Немчиновская 24|2006| лютесценс| продовольственное| 294-336 |среднеспелая| 1400-1500|7|8|9|7|4|6||8||||8,5|9| интенсивный|2,2|3|5,5|7,5||12,6||31,7||||||хороший филлер||||||||
Озимая пшеница|Немчиновская 57|2009| эритроспермум| продовольственное| 292-327 |среднеспелая| 1400-1500|8|8|9|6,5|6|8||7|7|||8,5|9| пластичный|2,3|3,5|5,5|7||12,8||30,5||||||филлер||||||||
Озимая пшеница|Немчиновская 85|2021| эритроспермум| продовольственное| 263-337 |среднеспелая| 1400-1500|8|8|9|8|6|7||7|8|||9|9| интенсивный|2,2|3|5,5|7,5||14,4||33,8||||||Сильная пшеница||||||||
Озимая рожь|Валдай|1999|| хлебопекарное| 320-330 |среднеспелая| 1200-1800|8|7||7||||||||7|7| толерантный|2,5|3|4,5|6||10,3|||50,7||||34||||||152|||
Озимая рожь|Татьяна|2003|| хлебопекарное| 320-330 |среднеспелая| 1200-1800|8|6,5||8||||||||6|8| пластичный|2,5|3,5|4,5|6||12,3|||51,1||||32,5||||||142|||
Озимая рожь|Московская 12|2011|| хлебопекарное| 320-330 |среднеспелая| 1200-1800|8|7||8||||||||7|7| пластичный|2,3|3,5|4,5|6||11,4|||50||||33,8||||||186|||
Озимая рожь|Московская 15|2016|| хлебопекарное| 320-330 |среднеспелая| 1200-1800|8|7||8||||||||6|7| интенсивный|2,2|3,2|5|6,5||11,3|||50,5||||33,3||||||141|||
Озимая рожь|Московская 18|2020|| хлебопекарное| 320-330 |среднеспелая| 1200-1800|8|7||8||||||||6|8| интенсивный|2,2|3|5|6,5||11,3|||50,1||||34,2||||||168|||
Озимая тритикале|Виктор|1993| субэритроспермум| зернофуражное| 317-329 |среднеспелый| 1300-1400|7|8|7,5|6||||||||7|7| толерантный|2,5|3|4,5|6,5||13,6||20,7|64,5|||.|45,0-50 |||||||||
Озимая тритикале|Гермес|2000| субэритроспермум| зернофуражное| 317-330 |среднеспелый| 1300-1400|7|6|4,5|7|4,5||||4,5|||8|7| пластичный|2,3|3,5|4,5|6,5||14,65||24,4|67|||732|45,5-51,5 |||||||||
Озимая тритикале|Немчиновский 56|2006| эритроспермум| зернофуражное| 315-332 |среднеспелый| 1300-1400|8|8|7|8|4,5|||||||7|8| пластичный|2,3|3,5|5|6,5||12,93||23,5|68,6|||712|39,9-54,1 |||||||||
Озимая тритикале|Нина|2012| субэритроспермум|зернофуражное| 315-327 |среднеспелый| 1300-1400|7,5|8|4,5|7|4,5|||||||7|8| интенсивный|2|3|5|7||13,01||15,6|67,3|||721|43,0-51,1 |||||||||
Яровая пшеница|Эстер|2004| лютесценс.| продовольственное|105||1550|7|8||6,6||7||6|7|||7|7| толерантный|1,7|2,8|4|6||16,4||40,3|||||38,4-39,6  |Ценная пшеница||||||||
Яровая пшеница|Злата|2009| лютесценс.| продовольственное|95||1320|7|9||7||6||7|5|||8|8| пластичный|1,7|3|4,5|6||16,3||34,8|||||36,5-40,5 |хорошего филлера||||||||
Яровая пшеница|Агата|2014| лютесценс.| продовольственное|98||1400|7|8||7,3||7||8|7|||7|6| пластичный|1,5|3|4,5|6||16||35,7|||||35,4-39,7  |Ценная пшеница||||||||
Яровая пшеница|РИМА|2017| лютесценс.| продовольственное|102||1500|6|7||7,3||7||8|7|||8|7| интенсивный|1,5|2,8|4,5|6,5||15,5||32,6|||||36,4-40,2  |Сильная пшеница||||||||
Яровая пшеница|Радмира|2020| лютесценс.| продовольственное|98||1400|6|8||8||7||8|8|||8|7| интенсивный|1,5|2,8|4,3|6,5||16,2||36,3|||||37,6 -42,4  |Ценная пшеница||||||||
Яровой ячмень |Владимир|2007| nutans|  пивоваренный и ценный по качеству для крупяных целей|  77-84||  1310-1580|7,3|6,3|6,5|6,1||5||||  5,0-6,5|  5,5-7,0|6,8|8,5|  толерантный|2,1|3|4|6| крупяного и кормового направления использования |  12,0-14,5||||  78,9-82,1|  8,1-9,2| 687-735| 46,8-53,2||  96,4-99,7| 21-56| 4,5-5,0| 93,3-96,5||||
Яровой ячмень |Московский 86|2002| nutans|  пивоваренный |  77-84||  1310-1580|7,5|8|7,7|6||4,5||||  5,0-7,0|  5,5-7,0|6,8|8|  пластичный|2,1|3,2|4,2|6| крупяного и  пивоваренного направления использования|  11,2-13,3||||  80,9-81,2|  8,9-9,2| 697-735| 47,4-53,0||  97,0-99,4| 20-44| 4,0| 96,7-97,2||||
Яровой ячмень |Яромир|2013| nutans|  для фуражных целей|  79-86||  1340-1620|7,3|6,7|6,7|6,3||5||||  5,0-7,5|  5,5-7,0|7,7|7|  пластичный|2|3,2|4,7|6,2| универсального направления использования|  12,5-14,0||||  81,4-82,5|  8,3-9,3| 692-717| 46,3-53,0||  95,8-99,8| 22-30 | 4,0| 90,9-94,5||||
Яровой ячмень |Нур|2002| nutans|  пивоваренный и ценный по качеству для крупяных целей|  78-85||  1325-1600|8|7|6,7|6,4||5||||  5,0-7,5|  5,5-7,0|8|7|  интенсивный|2|3,2|4,8|6,4| универсального направления использования|  11,2-14,5||||  79,5-82,5|  8,3-9,5| 660-706| 46,8-54,6||  96,3-99,2| 23-45| 5,0| 94,8-96,8||||
Яровой ячмень |Надежный|2017| nutans|  пивоваренный |  78-84||  1325-1600|7,8|8|8|7,1||5,5||||  6,0-8,0|  6,5-8,5|8,3|7|  интенсивный|2|3|4,8|6,8| пивоваренного и крупяного направления использования|  10,2-12,8||||  80,2-83,0|  8,2-9,0| 706-735| 44,6-50,8||  95,8-99,4| 27-48| 4,0| 94,5-97,7||||
Яровой ячмень |Златояр|2020| nutans|  для фуражных целей|  78-85||  1325-1600|7,3|6,3|5,7|6,1||5||||  5,0-6,5|  5,5-7,0|7|6,5| интенсивный|2|3|4,8|6,8| кормового и крупяного направления использования,|  13,5-16,3||||  78,8-79,9|  8,4-9,1| 703-733| 50,1-55,2||  96,4-98,3| 31-52|4,5-5,0 бал| 94,1-95,5||||
Яровой овес |Лев||mutika| Сорт зернового направления Благодаря высокой устойчивости к полеганию и сравнительной высокорослости сорт может также с успехом использоваться на зелёный корм, сено и силос в смеси с бобовыми компонентами |90||1250|8|7|8|7||||||||8|8,5| толерантный|2,2|3|4|6|  Сорт включён в список ценных по технологическим качествам зерна|10,5-14,0|||||24,4-27,4 |500-534||||||35,1-37,0 г||||
Яровой овес |Буланый|2011|mutika| Сорт зернового назначения, хорошо отзывчив на повышение агрофона Зерно может быть использовано на фураж и в пищевой промышленности|92||1300|8|7|8|7||||||||8|9| пластичный|2,2|3,1|4|6||10,3|||||26,7|570|36,5|||||||||
Яровой овес |Яков|2010|mutika| Сорт зернового назначения, но благодаря высокой устойчивости к полеганию и сравнительной высокорослости может с успехом выращиваться в смеси с зернобобовыми культурами на зелёный корм, сено и силос в занятых парах|93||1300|8|8|8|8||||||||8|8,5| пластичный|2|3,1|4,3|6,4||||||||541||||||36,8 г||||
Яровой овес |ЗАЛП|2015|mutika| пригоден для многоцелевого использования Прочная соломина сорта делает его весьма перспективным для использования в смеси с бобовыми компонентами для получения зелёного корма, сенажа и силоса Ранние сроки созревания и вертикальное расположение флагового листа позволяют использовать сорт ЗАЛП в смешанных посевах с викой также и на семенные цели В отличие от сорта Козырь, который лучше других сортов был совместим в совместных посевах с викой с целью получения семян, зерновки у ЗАЛПа не склонны к быстрому заселению сапрофитной альтернарией при выпадении осадков во время уборки и не теряют поэтому товарный вид|92||1290|8|6|8|8||||||||8|8| интенсивный|2|3|4,3|6,4||||||||501,6||||||32,3 г||||
Яровой овес |Немчиновский 61|2020|Avena sativa L.  subsp. nudisativa| зерно используетсяв пищевой и комбикормовой промышленности В бобово-злаковых смесях используется для получения зеленой массы, сенажа и силоса | 81-86||1400|8|7|8|7||||||||6|8,5| интенсивный|1,9|3|4,3|6||11,6-15,3|||57,0-70,1 |||557-624||||||29-34 г|||5,7-7,1 %|7,9-9,5%
Горох полевой|Немчиновский 817|1997| tenax cirrosum| Используется на корм с/х животным в виде зернофуража, силоса, сенажа и т д в смеси со злаковыми культурами| 75-80|| 1600-1700|5|6|5|5||||||||3|5| толерантный|1,5|2,3|3|4|. Урожайность зеленой массы при нормальном производстве 280 – 320 ц/га|24,5|18 - 19,0|||||||||||||||
Горох полевой|Флора|2004| tenax cirrosum| Используется на корм с/х животным в виде зернофуража, силоса, сенажа и т д в смеси со злаковыми культурами| 75-85|| 1600-1800|5|6|6|7||||||||4|5| пластичный|1,4|2,5|3|4|. Урожайность зеленой массы при нормальном производстве 300 – 350 ц/га|5,5|19,0 - 20,0|||||||||||||||
Горох полевой|Флора 2|2008| tenax cirrosum| Используется на корм с/х животным в виде зернофуража, силоса, сенажа и т д в смеси со злаковыми культурами| 75-85|| 1600-1800|5|6|6|7||||||||5|8| интенсивный|1,4|2,3|3,5|4|. Урожайность зеленой массы при нормальном производстве 300 – 350 ц/га|25,5|21,0 - 22,0|||||||||||||||
Горох посевной|Немчиновский 100|2010| zirrosum-mezomelan| Зерно используется в пишу Зеленая масса может использоваться на корм скоту| 70-80|| 1600-1700|5|6|6|7||||||||7|6| пластичный|1,4|2,5|3,5|4,5|. Урожайность зеленой массы при нормальном производстве 250 – 310 ц/га|5,5-27|21 - 22,0|||||||||||||||
Горох посевной|Немчиновский 50|2019| zirrosum-mezomelan| Зерно используется в пишу Зеленая масса может использоваться на корм скоту| 70-80|| 1600-1700|5|6|6|7||||||||7|6| интенсивный|1,4|2,2|3,5|4,5|. Урожайность зеленой массы при нормальном производстве 300 – 330 ц/га|26-27|21 - 22,0|||||||||||||||
Люпин узколистный|Ладный|1992| альбосиринус | на корм с/х животным – зернофураж, силос сенаж и т д| 85-88||1200|5|4|4|6||||||||9|7| толерантный|1,1|2|2,5|3,5| Урожайность зеленой массы при нормальном производстве 320 – 350 ц/га|35|||||||||||||| 0,01 – 0,05||
Люпин узколистный|Деко 2|2012| albosiryngus| на корм с/х животным – зернофураж, силос сенаж и т д|86||1300|5|4|4|6||||||||9|6| пластичный|1|2,2|2,8|3,5| Урожайность зеленой массы при нормальном производстве 360 – 380 ц/га|35||||||||||||||0,03 – 0,05||
Люпин узколистный|Дикаф 14|1995| леукантус| на корм с/х животным – зернофураж, силос сенаж и т д|88||1400|5|4|4|7||||||||9|7| пластичный|1|2|3|3,8| Урожайность зеленой массы при нормальном производстве 380 – 400 ц/га|35||||||||||||||0,01 – 0,05||
Люпин узколистный|Фазан|2012|| на корм с/х животным – зернофураж, силос сенаж и т д|84||1300|5|4|5|6||||||||9|4| интенсивный|1|2|3|4| Урожайность зеленой массы при нормальном производстве 360 – 380 ц/га|35||||||||||||||0,03 – 0,05||
Вика посевная яровая|Людмила|1998| typica.| на корм с/х животным – зернофураж, силос сенаж и т д| 80-85||1250|5|6|5|5||||||||3|5| толерантный|0,5|1|1,5|2|. Урожайность зеленой массы при нормальном производстве 280 – 320 ц/га в смеси с овсом в т. ч. вики 130 – 140 ц/га. Урожайность зерна в смеси с овсом 35 – 36 ц/га в т. ч. вики 13 – 14 ц/га.|25-26||||||||||||||||
Вика посевная яровая|Елена|2005| typica.| на корм с/х животным – зернофураж, силос сенаж и т д| 82-85||1300|5|6|5|5||||||||4|5| толерантный|0,5|1|1,5|2|. Урожайность зеленой массы при нормальном производстве в смеси с овсом 250 – 300 ц/га в т. ч. вики 120 – 130 ц/га. Урожайность в смеси с овсом 33 – 35 ц/га в т. ч. вики 12 – 14 ц/га.|25||||||||||||||||
Вика посевная яровая|Немчиновская юбилейная|2007| immaculate.| на корм с/х животным – зернофураж, силос сенаж и т д| 78-82||1250|5|6|5|7||||||||4|6| пластичный|0,4|1|1,5|2,2|. Урожайность зеленой массы при нормальном производстве 300 – 350 ц/га. Урожайность зерна в смеси с овсом 37 ц/га в т. ч. вики 14 – 16 ц/га.|26||||||||||||||||
Вика посевная яровая|Уолек|2011| milanosperma.| на корм с/х животным – зернофураж, силос сенаж и т д| 75-80|| 1900-2100|5|6|5|7||||||||5|5| интенсивный|0,4|0,9|1,9|2,5|. Урожайность зеленой массы при нормальном производстве 300 – 360 ц/га. Урожайность зерна в смеси с овсом 37 – 38 ц/га в т. ч. вики 15 – 16 вики.|25||||||||||||||||
Вика посевная яровая|Меа|2020| immaculate.| на корм с/х животным – зернофураж, силос сенаж и т д| 90-95|| 2000-2200|5|5|5|6||||||||5|7| пластичный|0,4|0,9|1,9|2,5|. Урожайность зеленой массы при нормальном производстве 350 – 370 ц/га. Урожайность зерна в смеси с овсом 48 – 50 ц/га в т. ч. вики 1,8 – 2,0 ц/га. |27||||||||||||||||
