Зона|Провинция|Культура|Уровень технологий|Сорта
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Московская 39,Московская 56}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Московская 39,Московская 56,Московская 40,Немчиновская 57}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Интенсивный|{Немчиновская 24,Московская 56,Московская 40,Немчиновская 57,Немчиновская 85}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Точный|{Немчиновская 24,Немчиновская 85}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Экстенсивный|{Валдай,Татьяна}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Нормальный|{Татьяна,Московская 1}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный|{Московская 15,Московская 18}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Московская 15,Московская 18}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Виктор}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Гермес,Немчиновский 56}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Интенсивный|{Немчиновский 56,Нина}
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Точный|{Нина}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая пшеница|Экстенсивный|{Эстер,Злата}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая пшеница|Нормальный|{Злата,Агата}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая пшеница|Интенсивный|{Злата,Агата,Рима}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая пшеница|Точный|{Рима,Радмира}
Южно-таежно-лесная зона|Среднерусская провинция|Яровой ячмень|Экстенсивный|{Владимир,Московский 86}
Южно-таежно-лесная зона|Среднерусская провинция|Яровой ячмень|Нормальный|{Московский 86,Яромир,Нур}
Южно-таежно-лесная зона|Среднерусская провинция|Яровой ячмень|Интенсивный|{Нур,Надёжный,Златояр}
Южно-таежно-лесная зона|Среднерусская провинция|Яровой ячмень|Точный|{Надёжный,Златояр}
Южно-таежно-лесная зона|Среднерусская провинция|Овес|Экстенсивный|{Лев,Буланый}
Южно-таежно-лесная зона|Среднерусская провинция|Овес|Нормальный|{Яков,Буланый}
Южно-таежно-лесная зона|Среднерусская провинция|Овес|Интенсивный|{Яков,Залп}
Южно-таежно-лесная зона|Среднерусская провинция|Овес|Точный|{Яков,Залп,Немчиновский 61}
Южно-таежно-лесная зона|Среднерусская провинция|Горох|Экстенсивный|{Немчиновский 817}
Южно-таежно-лесная зона|Среднерусская провинция|Горох|Нормальный|{Флора,Немчиновский 100}
Южно-таежно-лесная зона|Среднерусская провинция|Горох|Интенсивный|{Флора 2,Немчиновский 100,Немчиновский 50}
Южно-таежно-лесная зона|Среднерусская провинция|Горох|Точный|{Немчиновский 100,Немчиновский 50}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая вика|Экстенсивный|{Людмила,Елена}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая вика|Нормальный|{Елена,Немчиновская юбилейная}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая вика|Интенсивный|{Уголёк,Мега}
Южно-таежно-лесная зона|Среднерусская провинция|Яровая вика|Точный|{Уголёк,Мега}
Южно-таежно-лесная зона|Среднерусская провинция|Люпин узколистный|Экстенсивный|{Ладный}
Южно-таежно-лесная зона|Среднерусская провинция|Люпин узколистный|Нормальный|{Деко 2}
Южно-таежно-лесная зона|Среднерусская провинция|Люпин узколистный|Интенсивный|{Дикаф 14,Фазан}
Южно-таежно-лесная зона|Среднерусская провинция|Люпин узколистный|Точный|{Фазан}
